Posted Date;Letter Issue Date;Company Name;Issuing Office;Subject;Response Letter;Closeout Letter
03/17/2020;03/02/2020;Dianne's Fine Desserts;Office of Human and Animal Food Operations East Division 1;Food Labeling/Misbranded;;02/17/2023
03/17/2020;02/25/2020;Cipla Limited;Center for Drug Evaluation and Research | CDER;CGMP/Finished Pharmaceuticals/Adulterated;;
03/17/2020;03/04/2020;Banco Vida Corp.;Office of Biological Product Operations;Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps);;
03/17/2020;10/25/2019;Vapstor Distribution;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
03/17/2020;02/12/2020;Nature Essence Small Molecule Co., LTD;Division of Human and Animal Food Operations East V;Cosmetics/Adulterated/Misbranded;;
03/17/2020;09/30/2019;Commonwealth Vapes;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
03/17/2020;01/14/2020;Vaping Studio;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
03/17/2020;10/29/2019;Sweet Ann Cake, Inc.;Office of Human and Animal Food Operations East Division IV;CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated;;03/14/2023
03/17/2020;03/10/2020;Windlas Healthcare Private Limited;Center for Drug Evaluation and Research | CDER;CGMP/Finished Pharmaceuticals/Adulterated;;
03/17/2020;02/21/2020;Warner Herb Co.;Office of Human and Animal Foods Operations-East;Unapproved New Drugs/Misbranded;;
03/18/2020;03/16/2020;Invitrx Therapeutics Inc.;Center for Biologics Evaluation and Research (CBER);Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps);;
05/14/2020;05/14/2020;Allergan;Center for Devices and Radiological Health;CGMP/QSR/Medical Devices/PMA/Adulterated/Misbranded;;
05/19/2020;04/22/2020;Kure Corporation-Outlet;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
05/19/2020;05/05/2020;Blaine Labs Inc;Division of Pharmaceutical Quality Operations IV;CGMP/Finished Pharmaceuticals/Adulterated;;
05/19/2020;04/07/2020;Lymol Medical Corporation;Office of Medical Device and Radiological Health Operations (Division 1 East);CGMP/QSR/Medical Devices/Adulterated;;
05/19/2020;05/11/2020;Fullest Closet;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;07/21/2021
05/19/2020;04/22/2020;Black Industries Pty Ltd d/b/a Blck Flavour;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
05/19/2020;04/22/2020;Nubilus Vapor LLC d/b/a VapeCity Chicago;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
05/19/2020;04/24/2020;International Trading Pharm Lab Inc;Division of Pharmaceutical Quality Operations I;CGMP/Active Pharmaceutical Ingredient (API)/Adulterated;;
05/19/2020;05/11/2020;Health Cabin;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
05/19/2020;05/07/2020;New Spirit Naturals Inc.;Division of Human and Animal Food Operations West V;New Drug/Misbranded;;12/28/2021
06/30/2020;06/19/2020;Vapor Kings;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
06/30/2020;06/22/2020;Homeocare Laboratories, Inc.;Division of Pharmaceutical Quality Operations I;CGMP/Finished Pharmaceuticals/Adulterated;;
06/30/2020;06/09/2020;Malanda, Inc. dba Mandell's Clinical Pharmacy;Division of Pharmaceutical Quality Operations I;Compounding Pharmacy/Adulterated Drug Products;;11/21/2022
06/30/2020;06/22/2020;H & C Food Inc.;Division of Northeast Imports;Foreign Supplier Verification Program (FSVP);;
06/30/2020;06/03/2020;Auro Pharmacies, Inc., dba Central Drugs Compounding Pharmacy;Division of Pharmaceutical Quality Operations IV;CGMP/Drug Products/Adulterated;;04/14/2023
06/30/2020;06/04/2020;El Abuelito Cheese, Inc.;Division of Human and Animal Food Operations East II;CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated;;
06/30/2020;06/25/2020;E-Cig Vault;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
06/30/2020;06/03/2020;Global Commodities Corp.;Division of West Coast Imports;Foreign Supplier Verification Program (FSVP);;
06/16/2020;05/12/2020;Tampa FuM Corp.;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
06/16/2020;04/22/2020;Smiley National Inc. d/b/a Vapor-Blends;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
06/16/2020;05/22/2020;Lost Coast Liquid, LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
06/16/2020;06/04/2020;CMC Enterprise Pharmacy;Center for Tobacco Products;Compounding Pharmacy/Adulterated Drug Products;;
06/16/2020;05/28/2020;AZ Swagg Sauce LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;07/19/2021
06/16/2020;04/22/2020;Vape Game LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;11/05/2020
06/16/2020;05/12/2020;Vapegodshop, LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
06/16/2020;05/28/2020;Stim Co. d/b/a Stimulus E-Liquids;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
06/16/2020;05/12/2020;All Access Vapor, LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;11/05/2020
06/16/2020;04/22/2020;Juice Spot;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
06/16/2020;05/12/2020;Vapor Smoke Shop;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
06/16/2020;06/11/2020;8046255 Canada Inc. DBA Viatrexx;Center for Drug Evaluation and Research | CDER;CGMP/Finished Pharmaceuticals/Adulterated/Unapproved;;
06/16/2020;06/09/2020;Takeda Pharmaceutical Company Limited;Center for Drug Evaluation and Research | CDER;CGMP/Finished Pharmaceuticals/Adulterated;;02/02/2022
06/16/2020;06/11/2020;World Health Advanced Technologies Ltd;Center for Drug Evaluation and Research | CDER;Unapproved New Drugs/Misbranded;;
06/16/2020;06/11/2020;Medinatura Inc;Center for Drug Evaluation and Research | CDER;Unapproved New Drugs/Misbranded;;
06/16/2020;06/11/2020;Hevert Pharmaceuticals LLC USA;Center for Drug Evaluation and Research | CDER;Unapproved New Drugs/Misbranded;;
07/20/2020;07/20/2020;Cool Clouds Distribution, Inc. d/b/a Puff Bar;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
07/20/2020;07/20/2020;Ohm City Vapes Inc.;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
07/20/2020;07/20/2020;Hina Singh Enterprises, Inc. d/b/a Just Eliquids Distro Inc.;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;07/06/2021
07/20/2020;07/20/2020;Eleaf USA;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
07/20/2020;07/20/2020;Breazy Inc.;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
07/20/2020;07/20/2020;HQD Tech USA, LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
07/20/2020;07/20/2020;Myle Vape, Inc.;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
07/20/2020;07/20/2020;Vape Deal, LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;07/06/2021
07/20/2020;07/20/2020;Majestic Vapors, LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
07/20/2020;07/20/2020;E Cigarette Empire LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;08/13/2021
01/07/2020;11/27/2019;Ningbo BST Clean and Care Products Co., Ltd;Center for Drug Evaluation and Research | CDER;CGMP/Finished Pharmaceuticals/Adulterated;;
07/21/2020;07/02/2020;Express Trading International Inc.;Division of Southwest Imports;Foreign Supplier Verification Program (FSVP);;
07/21/2020;05/22/2020;Titan Premium Services, LLC d/b/a TitanVapez;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
07/21/2020;04/22/2020;Quan 5 Inc. d/b/a District F5VE;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
07/21/2020;07/14/2020;Signa SA de CV;Center for Drug Evaluation and Research | CDER;CGMP/Active Pharmaceutical Ingredient (API)/Adulterated;;07/15/2022
07/27/2020;07/23/2020;Eskbiochem SA de CV;Center for Drug Evaluation and Research | CDER;CGMP/Adulterated/Unapproved/Misbranded;;
01/07/2020;11/19/2019;Grace Analytical Lab Inc;Division of Pharmaceutical Quality Operations III;CGMP/Finished Pharmaceuticals/Adulterated;;
07/28/2020;03/27/2020;Beyond Vape Boston LLC d/b/a Beyond Vape;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
07/28/2020;07/08/2020;Tailor Cut Produce Inc.;Division of Human and Animal Food Operations East II;CGMP/Manufacturing, Packing or Holding Human Food/Adulterated/Insanitary Conditions;;03/16/2021
07/28/2020;07/13/2020;Eosera, Inc.;Division of Pharmaceutical Quality Operations II;CGMP/Finished Pharmaceuticals/Adulterated;;
07/29/2020;07/23/2020;Purple Biosciences, LLC;Center for Food Safety and Applied Nutrition (CFSAN);Dietary Supplement/Adulterated;;
07/29/2020;07/23/2020;Mind, Body & Coal LLC;Center for Food Safety and Applied Nutrition (CFSAN);Dietary Supplement/Adulterated;;05/12/2021
07/29/2020;07/23/2020;LES Labs;Center for Food Safety and Applied Nutrition (CFSAN);Dietary Supplement/Adulterated;;
07/29/2020;07/23/2020;Happy Hour Vitamins;Center for Food Safety and Applied Nutrition (CFSAN);Dietary Supplement/Adulterated;;
07/29/2020;07/23/2020;"""Vita Heaven, LLC dba Hangover Heaven";Center for Food Safety and Applied Nutrition (CFSAN);Dietary Supplement/Adulterated;;
07/29/2020;07/23/2020;Ebnsol, Inc;Center for Food Safety and Applied Nutrition (CFSAN);Dietary Supplement/Adulterated;;
07/29/2020;07/23/2020;Double Wood LLC;Center for Food Safety and Applied Nutrition (CFSAN);Dietary Supplement/Adulterated;;
08/04/2020;07/24/2020;ACRX Specialty Pharmacy Inc.;Center for Drug Evaluation and Research | CDER;Compounding Pharmacy/Adulterated Drug Products;;07/15/2022
08/04/2020;07/21/2020;New Life International;Center for Veterinary Medicine;Unapproved Chloroquine Phosphate Product;;
08/04/2020;07/28/2020;Kaymile Trading, Inc.;Center for Food Safety and Applied Nutrition (CFSAN);Foreign Supplier Verification Program (FSVP);;
08/04/2020;05/18/2020;Pasha Food Distribution USA, Inc.;Division of West Coast Imports;Foreign Supplier Verification Program (FSVP);;
08/04/2020;07/29/2020;Ventura Terra Garden Inc.;Division of West Coast Imports;Foreign Supplier Verification Program (FSVP);;
08/04/2020;07/21/2020;Fishman Chemical of North Carolina, LLC;Center for Veterinary Medicine;Unapproved New Animal Drug Products;;
08/11/2020;06/16/2020;Copoliva Inc.;Division of West Coast Imports;Foreign Supplier Verification Program (FSVP);;
08/11/2020;07/31/2020;Davis Ventures, Inc dba The Green Herb and New Genesis Health;Division of Human and Animal Food Operations West IV;CGMP/Dietary Supplement/Adulterated/Misbranded;;
08/11/2020;07/29/2020;TAKA USA, INC. dba Cosmetic Innovations;Division of Pharmaceutical Quality Operations II;CGMP/Finished Pharmaceuticals/Adulterated;;
08/11/2020;08/04/2020;Soluciones Cosmeticas, SA de CV;Center for Drug Evaluation and Research | CDER;CGMP/Adulterated/Unapproved/Misbranded;;
08/18/2020;07/31/2020;Lufkin Vapor Supply/Vapin Texas LLC d/b/a Toot Juice & Vapor Supply;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/18/2020;07/31/2020;LDA Industries, LLC d/b/a Vapor Dynamix;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/18/2020;08/05/2020;Winter Gardens Quality Foods, Inc.;Division of Human and Animal Food Operations East II;Food Labeling/Misbranded;;10/08/2021
08/18/2020;08/10/2020;Nixteria, Crafted by JuicyVapor, LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
08/18/2020;08/10/2020;Pero Family Farms Food Company, LLC;Division of Human and Animal Food Operations East IV;Food Labeling/Misbranded;;04/26/2021
08/18/2020;07/24/2020;East Coast Vapors, LLC d/b/a VapeScorpion.com;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
06/25/2019;06/12/2019;Vaccaro's Italian Pastry Shop, Inc.;Division of Human and Animal Food Operations East II;CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated;;01/14/2022
05/03/2022;05/03/2022;Lynda’s Legacy LLC d/b/a Chaney’s Tobacco Station;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
05/04/2022;05/04/2022;BioMD Plus LLC;Center for Drug Evaluation and Research | CDER;Unapproved New Drugs/Misbranded/Cannabidiol (CBD) Products;;
05/04/2022;05/04/2022;M Six Labs, Inc.;Center for Drug Evaluation and Research | CDER;Unapproved New Drugs/Misbranded/Cannabidiol (CBD) Products;;
05/04/2022;05/04/2022;Kingdom Harvest;Center for Drug Evaluation and Research | CDER;Unapproved New Drugs/Misbranded/Cannabidiol (CBD) Products;;
05/04/2022;05/04/2022;ATLRx, Inc.;Center for Drug Evaluation and Research | CDER;Unapproved New Drugs/Misbranded/Cannabidiol (CBD) Products;;
05/04/2022;05/04/2022;Delta 8 Hemp;Center for Drug Evaluation and Research | CDER;Unapproved New Drugs/Misbranded/Cannabidiol (CBD) Products;;
04/18/2022;03/07/2022;Sunshine Mills, Inc;Human and Animal Food East V Compliance Branch (HAFE5-CB);CGMP/Animal Food/Adulterated;;
05/05/2022;05/05/2022;Tiger Vapor, LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
05/09/2022;05/04/2022;Advanced Nutritional Supplements LLC;Center for Food Safety and Applied Nutrition (CFSAN);Dietary Supplement/Adulterated;;
05/09/2022;05/04/2022;Assault Labs;Center for Food Safety and Applied Nutrition (CFSAN);Dietary Supplement/Adulterated;;
05/09/2022;05/04/2022;New York Nutrition Company;Center for Food Safety and Applied Nutrition (CFSAN);Dietary Supplement/Adulterated;;
05/09/2022;05/04/2022;Ironmag Labs;Center for Food Safety and Applied Nutrition (CFSAN);Dietary Supplement/Adulterated;;
05/10/2022;05/02/2022;David Cosmetic Co., Ltd.;Center for Drug Evaluation and Research | CDER;CGMP/Finished Pharmaceutical/Adulterated;;
04/19/2022;04/13/2022;SkinPro;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug/Misbranded;;
05/03/2022;04/20/2022;Miami University Department of Chemistry and Biochemistry;Pharmaceutical Quality Operations Division III;CGMP/Active Pharmaceutical Ingredient (API)/Adulterated;;
05/03/2022;03/11/2022;Don’t Run Out dba Public Goods;Division of Northeast Imports;Foreign Supplier Verification Program (FSVP);;
05/03/2022;04/26/2022;Cigsweb.com;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
05/03/2022;04/22/2022;Crystal Canyon Vapes LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;09/28/2022
05/03/2022;04/18/2022;Age Management Institute Santa Barbara;Division of Pharmaceutical Quality Operations IV;Compounding Pharmacy/Adulterated Drug Products;;
05/03/2022;04/07/2022;Global Imports Inc.;Division of Southwest Imports;Foreign Supplier Verification Program (FSVP);;
05/03/2022;03/28/2022;Bhan Kanom Thai Inc;Division of West Coast Imports;Foreign Supplier Verification Program (FSVP);;
05/03/2022;04/12/2022;The W.S. Badger Company, Inc.;Division of Pharmaceutical Quality Operations I;CGMP/Finished Pharmaceuticals/Adulterated;;
05/03/2022;03/28/2022;Madras Groceries;Division of West Coast Imports;Foreign Supplier Verification Program (FSVP);;
05/03/2022;02/24/2022;MYA International, Inc.;Office of Human and Animal Food Operations –West Division 5;Unapproved New Drugs/Misbranded;;
05/03/2022;04/14/2022;SCO Koladen LLC;West Coast Import District Compliance Branch - Team 2 (WCID-CB);Foreign Supplier Verification Program (FSVP);;
05/03/2022;04/14/2022;Froggy’s Fog LLC;Office of Pharmaceutical Quality Operations, Division II;CGMP/Finished Pharmaceuticals/Adulterated/Misbranded;;
05/03/2022;04/20/2022;C R Supplements, LLC;Office of Human and Animal Food Operations – West Division 6;Unapproved New Drugs/Misbranded;;
03/10/2022;03/10/2022;Half Moon Mods LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
03/15/2022;02/28/2022;Sabine S. Hazan, M.D.;Center for Drug Evaluation and Research | CDER;Clinical Investigator (CI);;
03/15/2022;02/25/2022;Fella Group LLC;Division of West Coast Imports;Foreign Supplier Verification Program (FSVP);;
03/15/2022;03/09/2022;Okami Brand LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
03/15/2022;02/28/2022;NeuroField, Inc.;Center for Devices and Radiological Health;Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device;;
03/15/2022;02/23/2022;Craving Vapor Industries, LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
03/15/2022;02/24/2022;Accu Bio-Chem Laboratories;Division of Pharmaceutical Quality Operations IV;CGMP/Finished Pharmaceuticals/Adulterated;;
03/15/2022;12/20/2021;Teahouse Tapioca and Tea Inc.;Division of Southwest Imports;Foreign Supplier Verification Program (FSVP);;
03/15/2022;03/02/2022;Keeler Family Farms;Division of Southwest Imports;Foreign Supplier Verification Program (FSVP);;
03/29/2022;03/25/2022;Agropharma Laboratories, Inc.;Office of Pharmaceutical Quality Operations, Division II;CGMP/Finished Pharmaceuticals/Adulterated;;
03/29/2022;03/04/2022;Medina Baking and Powder Products, Inc.;Office of Human and Animal Food Operations Division IV East;Food Labeling/Misbranded;;
03/29/2022;03/14/2022;Dr Retter Ec Wladyslaw Retter;Center for Drug Evaluation and Research | CDER;CGMP/Finished Pharmaceuticals/Adulterated;;
03/29/2022;03/28/2022;CBD Social;Center for Drug Evaluation and Research | CDER;Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19);;
03/29/2022;03/28/2022;Functional Remedies, LLC D/B/A Synchronicity Hemp Oil;Center for Drug Evaluation and Research | CDER;Unapproved and Misbranded Product Related to Coronavirus Disease 2019 (COVID-19);;
03/29/2022;03/28/2022;Greenway Herbal Products LLC;Center for Drug Evaluation and Research | CDER;Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19);;
03/29/2022;03/28/2022;Cureganics;Center for Drug Evaluation and Research | CDER;Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19);;
03/29/2022;03/28/2022;Nature's Highway;Center for Drug Evaluation and Research | CDER;Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19);;
03/29/2022;03/28/2022;UPSY LLC;Center for Drug Evaluation and Research | CDER;Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19);;
03/29/2022;03/28/2022;Heaven’s Organic LLC;Center for Drug Evaluation and Research | CDER;Unapproved and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19);;
04/19/2022;04/13/2022;Genomma Lab USA, Inc.;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug/Misbranded;;
04/19/2022;04/13/2022;M & M Beauty and Wellness, LLC;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug/Misbranded;;
04/19/2022;04/13/2022;True Earth Health Products, LLC;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug/Misbranded;;
04/19/2022;03/11/2022;Agroson’s LLC;Division of Northeast Imports;Foreign Supplier Verification Program (FSVP);;
04/19/2022;04/13/2022;Elements Brands Inc.;;Finished Pharmaceuticals/Unapproved New Drug/Misbranded;;
04/19/2022;04/13/2022;Ultimark Products;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug/Misbranded;;
04/19/2022;12/14/2021;Eli’s Manhattan Warehouse, Inc.;Division of Northeast Imports;Foreign Supplier Verification Program (FSVP);;
04/19/2022;03/31/2022;Vi-Jon, LLC;Division of Pharmaceutical Quality Operations III;CGMP/Finished Pharmaceuticals/Adulterated;;
04/19/2022;04/13/2022;Skin PS Brands;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug/Misbranded;;
04/19/2022;02/28/2022;Pet Center, Inc.;Office of Human and Animal Food Operations West Division 5;CGMP/Food for Animals/Prepared, Packed or Held Under Insanitary Conditions/Adulterated;;03/23/2023
04/19/2022;04/13/2022;Clinical Formula LLC;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug/Misbranded;;
04/19/2022;04/13/2022;Neoteric Cosmetics, Incorporated/Scott’s Liquid Gold, Inc.;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug/Misbranded;;
04/19/2022;04/13/2022;Dr. Thomas Balshi/Intilight;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug/Misbranded;;
04/19/2022;04/15/2022;Downtown Vapes LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
04/19/2022;02/04/2022;Riedstra Dairy, Ltd.;Office of Human and Animal Food Operations East Division 6;Illegal Drug Residue Animal Tissue/Adulterated;;05/31/2023
03/19/2022;09/19/2018;Innovative Intrathecal Solutions, Inc. dba Innovative Compounding Pharmacy;Division of Pharmaceutical Quality Operations IV;Compounding Pharmacy/Adulteration/Misbranding;;04/19/2022
04/21/2022;04/19/2022;Kleenhanz, LLC;Center for Drug Evaluation and Research | CDER;Unapproved Drug Products Related to Coronavirus Disease 2019 (COVID-19);;
04/21/2022;04/21/2022;Vapor Lounge, LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
04/26/2022;04/14/2022;Cetylite Industries, Inc.;Division of Pharmaceutical Quality Operations I;CGMP/Finished Pharmaceuticals/Adulterated;;
04/26/2022;03/01/2022;Clinical Resolution Laboratory Inc.;Division of Pharmaceutical Quality Operations IV;CGMP/Finished Pharmaceuticals/Adulterated;;
04/26/2022;04/19/2022;Guangzhou Zhongkebaishi Health Industry Co., Ltd.;Center for Drug Evaluation and Research | CDER;Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated;;
04/26/2022;04/19/2022;Fresh Farms LLC;Division of Pharmaceutical Quality Operations IV;CGMP/Finished Pharmaceuticals/Adulterated;;
04/26/2022;04/12/2022;Alymar LLC;Southwest Imports;Foreign Supplier Verification Program (FSVP);;
04/26/2022;04/22/2022;Vape Junkie EJuice;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
04/26/2022;04/13/2022;7333 LLC;Division of West Coast Imports;Foreign Supplier Verification Program (FSVP);;
04/26/2022;03/17/2022;Vitae Enim Vitae Scientific Inc.;Division of Pharmaceutical Quality Operations IV;CGMP/Finished Pharmaceuticals/Adulterated;;
04/26/2022;04/15/2022;White Horse Vapor Store, LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
04/27/2022;04/27/2022;Smoke-Free Planet, LLC d/b/a Smoke Free Nation;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
05/02/2022;05/02/2022;Breathe Easy Vapes, LP dba Breathe Easy Vapes;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
05/03/2022;02/16/2022;Best Fiji Kava, Inc.;Division of West Coast Imports;Foreign Supplier Verification Program (FSVP);;
05/10/2022;04/11/2022;Brigham and Women’s Hospital Inc.;Office of Pharmaceutical Quality Operations Division I;CGMP/Positron Emission Tomography (PET) Drugs/Adulterated;;05/31/2023
05/10/2022;04/21/2022;MCACO, LTD;Division of Human and Animal Food Operations West III;CGMP/Dietary Supplement/Adulterated;;
05/10/2022;03/08/2022;Purina Animal Nutrition LLC;Division of Human and Animal Food Operations West III;CGMP/Food for Animals/Prepared, Packed or Held Under Insanitary Conditions/Adulterated;;09/20/2022
05/10/2022;05/04/2022;Inhousepharmacy.vu;Center for Drug Evaluation and Research | CDER;Notice of Unlawful Sale of Unapproved Drugs to United States Consumers Over the Internet;;
05/10/2022;04/29/2022;Beachside Vapors LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
05/11/2022;05/11/2022;You Suck Vapes Altus;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
05/13/2022;05/12/2022;Vaporwave LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
05/17/2022;04/26/2022;El Dorado Imports Inc;Division of Southwest Imports;Foreign Supplier Verification Program (FSVP);;
05/17/2022;03/28/2022;LECS USA Inc.;Division of West Coast Imports;Foreign Supplier Verification Program (FSVP);;
05/17/2022;04/18/2022;Fres Co, LLC;Division of Northeast Imports;Foreign Supplier Verification Program (FSVP);;
05/17/2022;05/06/2022;The Vapor Gypsy, LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
05/17/2022;05/03/2022;Specialty Process Labs LLC;Division of Pharmaceutical Quality Operations IV;CGMP/Active Pharmaceutical Ingredient (API)/Adulterated;;
03/30/2022;03/30/2022;Vapor Vapes Inc.;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
04/05/2022;02/11/2022;Joy Gourmet Foods LLC;Office of Human and Animal Food Operations East Division 1;CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated;;
04/05/2022;01/07/2022;Jaded Vapors LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
04/05/2022;03/10/2022;Vape Crusaders Premium E-Liquid LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
04/05/2022;03/28/2022;Transphere, Inc.;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
04/05/2022;03/17/2022;Honey Feast, Inc.;Office of Human and Animal Food Operations East Division IV;New Drug/Misbranded;;07/15/2022
04/05/2022;01/28/2022;Skin Sheek;Center for Devices and Radiological Health;Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA) Adulterated Device;;03/14/2023
04/05/2022;02/04/2022;E Vapor Hut LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;07/14/2022
04/05/2022;11/24/2021;Ferrum City Liquid;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
04/05/2022;01/14/2022;Boomtown Vapor LLC;Center for Tobacco Products;Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded;;
